full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
eyaltoledano/claude-task-master,26652,26652,2486,5,5,0,https://github.com/eyaltoledano/claude-task-master
anthropics/claude-plugins-official,17507,17507,2073,8,8,2,https://github.com/anthropics/claude-plugins-official
carlvellotti/claude-code-pm-course,1892,1892,294,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
wshobson/agents,34047,34047,3692,7,7,0,https://github.com/wshobson/agents
ghuntley/claude-code-source-code-deobfuscation,973,973,556,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
alirezarezvani/claude-skills,12225,12225,1608,18,18,1,https://github.com/alirezarezvani/claude-skills
andrew-kramer-inno/claude-code-source-build,575,575,510,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
luongnv89/claude-howto,28059,28059,3426,7,7,-1,https://github.com/luongnv89/claude-howto
feiskyer/claude-code-settings,1452,1452,217,0,0,0,https://github.com/feiskyer/claude-code-settings
slopus/happy,18901,18901,1547,3,3,1,https://github.com/slopus/happy
sugyan/claude-code-webui,1038,1038,240,0,0,0,https://github.com/sugyan/claude-code-webui
farion1231/cc-switch,48467,48467,3100,9,9,0,https://github.com/farion1231/cc-switch
Hyper66666/claude-code-sourcemap,208,208,456,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
NanmiCoder/cc-haha,7802,7802,6973,9,9,5,https://github.com/NanmiCoder/cc-haha
Windy3f3f3f3f/claude-code-from-scratch,977,977,332,1,1,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
darcyegb/ClaudeCodeAgents,665,665,60,665,665,60,https://github.com/darcyegb/ClaudeCodeAgents
